QUESTION,ANSWER
Disiplin yönetmeliği etik hat süreci,Cevap:1
Etik bildirim tutanağı,Cevap:2 
Disiplin yönetmeliği etik bildirim tutanağı,Cevap:3
Etik Kurul Çalışma Yönetmeliği,Cevap:4
Organizasyon Şeması,Cevap:5 
Yeni işe başlayanlar katılanlar kimlerdir,Cevap:6 
İş ilanları açıp pozisyonlar neler,Cevap:7
Açık Pozisyonlara İçeriden Başvuru Süreci,Cevap:8 
Nasıl staj yapılıyor stajer stajyer nasıl alınıyor?,Cevap:9 
Ücret yönetimi avans talep süreci,Cevap:10 
Fazla mesai fazla çalışma ödeme harcırah var mı?,Cevap:11 
Taksitli avans alabilirmiyim? Taksitli avans nasıl alınır?,Cevap:12 
Yan hak özel sağlık sigortası,Cevap:13 
YAN hak bes bireysel emeklilik ,Cevap:14 
Yan hak Şirket aracı kullanım hakkı,Cevap:15 
yan hak Yol ücreti alabilirmiyim,Cevap:16 
yan hak lokasyon ödemesi alabilirmiyim,Cevap:17 
yan hak harcırah yol harcırahı seyehat harcırahı alabilirmiyim,Cevap:18 
Şirket evlilik doğum altın hediyesi nasıl olur,Cevap:19 
Logo anlaşmalı kampanya indirim logextra,Cevap:20 
"Ofis çalışma saatleri nasıldır, hangi saatler arasında ofisler açıktır",Cevap:22 
"Vize almak için ne yapmalıyım, hangi evraklar gerekli kimden alabilirim",Cevap:23 
Havuz araçları kullanımı hakkında bilgi alabilirmiyim,Cevap:24 
"ALTINTEPE servisi hakkında bilgi alabilirmiyim nereden geçiyor, servis şoförü kim hangi servisteyim",Cevap:25 
"ATALAR servisi hakkında bilgi alabilirmiyim nereden geçiyor, servis şoförü kim hangi servisteyim",Cevap:26 
"AYDINLI KARTAL E5 servisi hakkında bilgi alabilirmiyim nereden geçiyor, servis şoförü kim hangi servisteyim",Cevap:27 
"BATI ATAŞEHİR servisi hakkında bilgi alabilirmiyim nereden geçiyor, servis şoförü kim hangi servisteyim",Cevap:28 
"BEYLİKBAĞI MUTLUKENT servisi hakkında bilgi alabilirmiyim nereden geçiyor, servis şoförü kim hangi servisteyim",Cevap:29 
"BOSTANCI E5 servisi hakkında bilgi alabilirmiyim nereden geçiyor, servis şoförü kim hangi servisteyim",Cevap:30 
"CEVİZLİ servisi hakkında bilgi alabilirmiyim nereden geçiyor, servis şoförü kim hangi servisteyim",Cevap:31 
"ÇEKMEKÖY servisi hakkında bilgi alabilirmiyim nereden geçiyor, servis şoförü kim hangi servisteyim",Cevap:32 
"DARICA servisi hakkında bilgi alabilirmiyim nereden geçiyor, servis şoförü kim hangi servisteyim",Cevap:33 
"DUDULLU servisi hakkında bilgi alabilirmiyim nereden geçiyor, servis şoförü kim hangi servisteyim",Cevap:34 
"ESENKENT BEYLİKDÜZÜ servisi hakkında bilgi alabilirmiyim nereden geçiyor, servis şoförü kim hangi servisteyim",Cevap:35 
"FINDIKLI servisi hakkında bilgi alabilirmiyim nereden geçiyor, servis şoförü kim hangi servisteyim",Cevap: 36
"GEBZE ARAPÇEŞME servisi hakkında bilgi alabilirmiyim nereden geçiyor, servis şoförü kim hangi servisteyim",Cevap:37 
"GEBZE MERKEZ servisi hakkında bilgi alabilirmiyim nereden geçiyor, servis şoförü kim hangi servisteyim",Cevap:38 
"GEBZE MESAİ SERVİSİ ( 19:00 ) servisi hakkında bilgi alabilirmiyim nereden geçiyor, servis şoförü kim hangi servisteyim",Cevap:39 
"GEBZE YENİMAHALLE servisi hakkında bilgi alabilirmiyim nereden geçiyor, servis şoförü kim hangi servisteyim",Cevap:40 
"GÜNEŞLİ servisi hakkında bilgi alabilirmiyim nereden geçiyor, servis şoförü kim hangi servisteyim",Cevap:41 
"İDEALTEPE servisi hakkında bilgi alabilirmiyim nereden geçiyor, servis şoförü kim hangi servisteyim",Cevap:42 
"İZMİR - BORNOVA servisi hakkında bilgi alabilirmiyim nereden geçiyor, servis şoförü kim hangi servisteyim",Cevap:43 
"İZMİR - BOSTANLI servisi hakkında bilgi alabilirmiyim nereden geçiyor, servis şoförü kim hangi servisteyim",Cevap:44 
"İZMİR - BUCA servisi hakkında bilgi alabilirmiyim nereden geçiyor, servis şoförü kim hangi servisteyim",Cevap:45 
"İZMİR - GÜZELBAHÇE servisi hakkında bilgi alabilirmiyim nereden geçiyor, servis şoförü kim hangi servisteyim",Cevap:46 
"İZMİR - HATAY servisi hakkında bilgi alabilirmiyim nereden geçiyor, servis şoförü kim hangi servisteyim",Cevap:47 
"İZMİR - MAVİŞEHİR servisi hakkında bilgi alabilirmiyim nereden geçiyor, servis şoförü kim hangi servisteyim",Cevap:48 
"İZMİR - YEŞİLYURT servisi hakkında bilgi alabilirmiyim nereden geçiyor, servis şoförü kim hangi servisteyim",Cevap:49 
"İZMİT KURUÇEŞME servisi hakkında bilgi alabilirmiyim nereden geçiyor, servis şoförü kim hangi servisteyim",Cevap:50 
"İZMİT YAHYA KAPTAN servisi hakkında bilgi alabilirmiyim nereden geçiyor, servis şoförü kim hangi servisteyim",Cevap:51 
"TUZLA KURFALI servisi hakkında bilgi alabilirmiyim nereden geçiyor, servis şoförü kim hangi servisteyim",Cevap:52 
"UĞURMUMCU servisi hakkında bilgi alabilirmiyim nereden geçiyor, servis şoförü kim hangi servisteyim",Cevap:53 
"ÜMRANİYE servisi hakkında bilgi alabilirmiyim nereden geçiyor, servis şoförü kim hangi servisteyim",Cevap:54 
"ÜSKÜDAR servisi hakkında bilgi alabilirmiyim nereden geçiyor, servis şoförü kim hangi servisteyim",Cevap:55 
"YEŞİLKÖY ZEYTİNBURNU servisi hakkında bilgi alabilirmiyim nereden geçiyor, servis şoförü kim hangi servisteyim",Cevap:56 
merhaba,Merhaba size nasıl yardımcı olabilirim?
selam,Merhaba size nasıl yardımcı olabilirim?
yardıma ihtiyacım var,Merhaba size nasıl yardımcı olabilirim?
teşekkürler,Biz teşekkür ederiz.
